"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jul 25 21:45:50 EEST 2022","Mon Jul 25 21:45:50 EEST 2022","386","","Invalid Credentials: Empty fields","","Invalid Credentials: Empty fields","Empty fields: Empty credentials","Empty fields: Empty credentials",""
"passed","Mon Jul 25 21:45:16 EEST 2022","Mon Jul 25 21:45:30 EEST 2022","13895","","LogIn: Links Redirect","","LogIn: Links Redirect","Links Redirect: Log in","Links Redirect: Log in",""
"passed","Mon Jul 25 21:45:56 EEST 2022","Mon Jul 25 21:45:57 EEST 2022","1164","","Invalid Credentials: Password Requirements","","Invalid Credentials: Password Requirements","Password Requirements: Be at least 12 characters long","Password Requirements: Be at least 12 characters long",""
"passed","Mon Jul 25 21:45:57 EEST 2022","Mon Jul 25 21:45:58 EEST 2022","815","","Invalid Credentials: Password Requirements","","Invalid Credentials: Password Requirements","Password Requirements: Contain at least one number","Password Requirements: Contain at least one number",""
"passed","Mon Jul 25 21:41:49 EEST 2022","Mon Jul 25 21:42:00 EEST 2022","10902","","Log In: Empty fields","","Log In: Empty fields","Empty fields: Empty Credentials","Empty fields: Empty Credentials",""
"passed","Mon Jul 25 21:41:27 EEST 2022","Mon Jul 25 21:41:36 EEST 2022","9238","","LogIn: Links Redirect","","LogIn: Links Redirect","Links Redirect: Password Reset","Links Redirect: Password Reset",""
"passed","Mon Jul 25 21:45:52 EEST 2022","Mon Jul 25 21:45:53 EEST 2022","1190","","Invalid Credentials: Empty fields","","Invalid Credentials: Empty fields","Empty fields: Name only","Empty fields: Name only",""
"passed","Mon Jul 25 21:44:14 EEST 2022","Mon Jul 25 21:44:35 EEST 2022","21242","","Home Page: Network Page","","Home Page: Network Page","Network Page: Create first Network","Network Page: Create first Network",""
"passed","Mon Jul 25 21:44:59 EEST 2022","Mon Jul 25 21:45:08 EEST 2022","8965","","LogIn: Links Redirect","","LogIn: Links Redirect","Links Redirect: Terms and Conditions","Links Redirect: Terms and Conditions",""
"passed","Mon Jul 25 21:46:10 EEST 2022","Mon Jul 25 21:46:19 EEST 2022","8941","","Sign In: Minimal Conditions","","Sign In: Minimal Conditions","Sign In: Valid Conditions","Sign In: Valid Conditions",""
"passed","Mon Jul 25 21:46:19 EEST 2022","Mon Jul 25 21:46:26 EEST 2022","7504","","Sign In: Minimal Conditions","","Sign In: Minimal Conditions","Sign In: Valid Conditions + Promo Code","Sign In: Valid Conditions + Promo Code",""
"passed","Mon Jul 25 21:43:34 EEST 2022","Mon Jul 25 21:43:52 EEST 2022","17320","","Log In: Valid Credentials","","Log In: Valid Credentials","Valid Credential: Without ""Remember my email address"" checkbox","Valid Credential: Without ""Remember my email address"" checkbox",""
"passed","Mon Jul 25 21:46:00 EEST 2022","Mon Jul 25 21:46:02 EEST 2022","1341","","SignUp page: Promo Code","","SignUp page: Promo Code","Promo Code: Promo Code Only","Promo Code: Promo Code Only",""
"passed","Mon Jul 25 21:46:33 EEST 2022","Mon Jul 25 21:46:41 EEST 2022","7965","","Sign In: Minimal Conditions","","Sign In: Minimal Conditions","Sign In: Valid Conditions + Promo Code + Receive Emails Checkbox","Sign In: Valid Conditions + Promo Code + Receive Emails Checkbox",""
"passed","Mon Jul 25 21:42:11 EEST 2022","Mon Jul 25 21:42:23 EEST 2022","11566","","Log In: Empty fields","","Log In: Empty fields","Empty fields: Without email","Empty fields: Without email",""
"passed","Mon Jul 25 21:46:02 EEST 2022","Mon Jul 25 21:46:03 EEST 2022","1254","","SignUp page: Checkboxes","","SignUp page: Checkboxes","Checkbox: Terms And Conditions Checkbox Uncheked Error","Checkbox: Terms And Conditions Checkbox Uncheked Error",""
"passed","Mon Jul 25 21:43:52 EEST 2022","Mon Jul 25 21:44:09 EEST 2022","17269","","Log In: Valid Credentials","","Log In: Valid Credentials","Valid Credential: With ""Remember my email address"" checkbox","Valid Credential: With ""Remember my email address"" checkbox",""
"passed","Mon Jul 25 21:45:08 EEST 2022","Mon Jul 25 21:45:16 EEST 2022","7926","","LogIn: Links Redirect","","LogIn: Links Redirect","Links Redirect: Privacy Policy","Links Redirect: Privacy Policy",""
"passed","Mon Jul 25 21:46:03 EEST 2022","Mon Jul 25 21:46:04 EEST 2022","1143","","SignUp page: Checkboxes","","SignUp page: Checkboxes","Checkbox: Terms And Conditions Checkbox Only","Checkbox: Terms And Conditions Checkbox Only",""
"passed","Mon Jul 25 21:45:50 EEST 2022","Mon Jul 25 21:45:52 EEST 2022","2049","","Invalid Credentials: Empty fields","","Invalid Credentials: Empty fields","Empty fields: Email only","Empty fields: Email only",""
